Categoría,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta,Dificultad

Fútbol,¿Quién ganó el Mundial 2014?,Argentina,Brasil,Alemania,Francia,c,Facil

Fútbol,¿Qué jugador tiene más goles en mundiales?,Messi,Ronaldo Nazário,Miroslav Klose,Pelé,c,Media

Fútbol,¿En qué año fue el primer Mundial de fútbol?,1920,1930,1940,1950,b,Dificil

Fútbol,¿Qué país ha ganado más Copas del Mundo?,Italia,Alemania,Brasil,Argentina,c,Facil

Fútbol,¿Qué equipo ganó la Champions League 2023?,Manchester City,Real Madrid,Liverpool,Bayern Múnich,a,Media

Fútbol,¿Qué selección fue la anfitriona del Mundial 2002?,Japón,Corea del Sur,Todas son correctas,Ninguna es correcta,c,Dificil

Videojuegos,¿Cuál es el personaje principal de la saga Zelda?,Link,Zelda,Mario,Luigi,a,Facil

Videojuegos,¿Qué consola lanzó Nintendo en 2006?,GameCube,Wii,Switch,DS,b,Facil

Videojuegos,¿Cuál es el nombre del hermano de Mario?,Toad,Luigi,Bowser,Yoshi,b,Facil

Videojuegos,¿Qué juego popular lanzó Epic Games?,Apex Legends,Minecraft,Fortnite,Valorant,c,Media

Videojuegos,¿En qué juego aparece el personaje Master Chief?,Halo,Call of Duty,Gears of War,Mass Effect,a,Media

Videojuegos,¿Qué animal es Sonic?,Erizo,Zorro,Gato,Perro,a,Media

Videojuegos,¿En qué año se lanzó el primer juego de Mario?,1981,1985,1989,1992,b,Dificil

Videojuegos,¿Cuál fue el primer videojuego de la historia?,Tetris,Pong,Pac-Man,Space Invaders,b,Dificil

Videojuegos,¿Qué empresa desarrolló el juego The Witcher 3?,CD Projekt Red,Ubisoft,EA,Bethesda,a,Dificil

Entretenimiento,¿Quién protagoniza la película 'Iron Man'?,Chris Evans,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,b,Facil

Entretenimiento,¿Cuál de estas películas ganó un Oscar a Mejor Película?,Titanic,Avengers: Endgame,Shrek,Joker,a,Media

Entretenimiento,¿En qué año se estrenó la serie 'Stranger Things'?,2014,2015,2016,2017,c,Dificil

Entretenimiento,¿Qué actor interpreta a Jack Sparrow?,Brad Pitt,Leonardo DiCaprio,Johnny Depp,Tom Cruise,c,Facil

Entretenimiento,¿Qué serie pertenece al universo de Star Wars?,The Mandalorian,The Witcher,The Boys,Loki,a,Media

Entretenimiento,¿Quién dirigió la película 'Inception' (El Origen)?,Steven Spielberg,Christopher Nolan,James Cameron,Quentin Tarantino,b,Dificil

Historia,¿En qué año comenzó la Segunda Guerra Mundial?,1939,1945,1914,1929,a,Media

Historia,¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,Abraham Lincoln,George Washington,John Adams,c,Facil

Historia,¿Cuál fue la civilización que construyó Machu Picchu?,Azteca,Inca,Maya,Olmeca,b,Dificil
